School Code,School Name,School Type,Address 1,Town,State,TOTAL_Enrollment,Average Salary,Zipcode
10505,Abington High,Public School,201 Gliniewicz Way,Abington,MA,452,74662,2351
10003,Beaver Brook Elementary School,Public School,1 Ralph Hamlin Lane,Abington,MA,580,74662,2351
10002,Center Elementary School,Public School,201 Gliniewicz Way,Abington,MA,203,74662,2351
10405,Frolio Middle School,Public School,201 Gliniewicz Way,Abington,MA,328,74662,2351
10015,Woodsdale Elementary School,Public School,128 Chestnut Street,Abington,MA,353,74662,2351
30025,Acushnet Elementary School,Public School,800 Middle Road,Acushnet,MA,538,64906,2743
30305,Albert F Ford Middle School,Public School,708 Middle Road,Acushnet,MA,417,64906,2743
50003,Agawam Early Childhood Center,Public School,108 Perry Lane,Agawam,MA,151,64769,1001
50505,Agawam High,Public School,760 Cooper Street,Agawam,MA,1222,64769,1001
50405,Agawam Junior High,Public School,1305 Springfield St,Feeding Hills,MA,562,64769,1030
50020,Benjamin J Phelps,Public School,689 Main Street,Agawam,MA,385,64769,1001
50010,Clifford M Granger,Public School,31 So. Westfield Street,Feeding Hills,MA,293,64769,1030
50030,James Clark School,Public School,65 Oxford Street,Agawam,MA,329,64769,1001
50303,Roberta G. Doering School,Public School,68 Main Street,Agawam,MA,599,64769,1001
50025,Robinson Park,Public School,65 Begley Street,Agawam,MA,377,64769,1001
70005,Amesbury Elementary,Public School,20 South Hampton Road,Amesbury,MA,388,77147,1913
70505,Amesbury High,Public School,5 Highland Street,Amesbury,MA,594,77147,1913
70515,Amesbury Innovation High School,Public School,71 Friend Street,Amesbury,MA,31,77147,1913
70013,Amesbury Middle,Public School,220 Main Street,Amesbury,MA,679,77147,1913
70010,Charles C Cashman Elementary,Public School,193 Lions Mouth Road,Amesbury,MA,458,77147,1913
80009,Crocker Farm Elementary,Public School,280 West Street,Amherst,MA,404,71730,1002
80020,Fort River Elementary,Public School,70 So East Street,Amherst,MA,335,71730,1002
80050,Wildwood Elementary,Public School,71 Strong Street,Amherst,MA,409,71730,1002
90505,Andover High,Public School,80 Shawsheen Road,Andover,MA,1806,81211,1810
90310,Andover West Middle,Public School,70 Shawsheen Road,Andover,MA,532,81211,1810
90003,Bancroft Elementary,Public School,15 Bancroft Street,Andover,MA,593,81211,1810
90305,Doherty Middle,Public School,50 Bartlet Street,Andover,MA,561,81211,1810
90010,Henry C Sanborn Elementary,Public School,90 Lovejoy Road,Andover,MA,381,81211,1810
90004,High Plain Elementary,Public School,333 High Plain Road,Andover,MA,515,81211,1810
90005,Shawsheen School,Public School,18 Magnolia Avenue,Andover,MA,73,81211,1810
90020,South Elementary,Public School,55 Woburn Street,Andover,MA,493,81211,1810
90025,West Elementary,Public School,58 Beacon Street,Andover,MA,636,81211,1810
90350,Wood Hill Middle School,Public School,11 Cross Street,Andover,MA,419,81211,1810
100505,Arlington High,Public School,869 Mass Avenue,Arlington,MA,1290,66493,2476
100010,Brackett,Public School,66 Eastern Avenue,Arlington,MA,476,66493,2476
100025,Cyrus E Dallin,Public School,185 Florence Avenue,Arlington,MA,466,66493,2476
100030,Hardy,Public School,52 Lake Street,Arlington,MA,451,66493,2474
100005,John A Bishop,Public School,25 Columbia Road,Arlington,MA,425,66493,2474
100055,M Norcross Stratton,Public School,180 Mountain Avenue,Arlington,MA,396,66493,2474
100038,Menotomy Preschool,Public School,869 Massachusetts Avenue,Arlington,MA,70,66493,2476
100410,Ottoson Middle,Public School,63 Acton Street,Arlington,MA,1208,66493,2476
100045,Peirce,Public School,85 Park Avenue Ext,Arlington,MA,276,66493,2474
100050,Thompson,Public School,187 Everett Street,Arlington,MA,466,66493,2474
140505,Ashland High,Public School,65 East Union St.,Ashland,MA,744,76355,1721
140405,Ashland Middle,Public School,87 West Union Street,Ashland,MA,587,76355,1721
140015,David Mindess,Public School,90 Concord Street,Ashland,MA,620,76355,1721
140010,Henry E Warren Elementary,Public School,73 Fruit Street,Ashland,MA,619,76355,1721
140005,William Pittaway Elementary,Public School,75 Central Street,Ashland,MA,131,76355,1721
160001,A. Irvin Studley Elementary School,Public School,299 Rathbun Willard Drive,Attleboro,MA,441,76386,2703
160515,Attleboro Community Academy,Public School,100 Rathbun Willard Drive,Attleboro,MA,63,76386,2703
160505,Attleboro High,Public School,100 Rathbun Willard Drive,Attleboro,MA,1671,76386,2703
